Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,RIC
Tai Sin Electric,500,0.385,11.23,180.566,379.052,8.16,6.03,Industrial Goods,78,TAIS.SI
3Cnergy,502,0.003,51.26,9.201,0.158,0.98,,Real Estate,59,CNER.SI
HS Optimus,504,0.003,-5.24,16.142,16.752,,,Cyclical Consumer Products,67,HSOP.SI
AsiaMedic,505,0.011,-0.68,12.316,17.629,,,Healthcare Services,66,ASIM.SI
Fuji Offset,508,0.3,4.52,14.974,3.817,11.88,1,Industrial Goods,70,FOPS.SI
Hiap Seng,510,0.02,,6.166,20.95,,,Industrial & Commercial Services,62,HSEN.SI
Second Chance,528,0.235,5.01,217.711,43.115,14.42,2.13,Retailers,59,SECD.SI
DISA,532,0.003,-36.9,30.32,24.266,,,Software & IT Services,34,DISA.SI
ABR,533,0.43,2.33,86.428,83.485,38.5,2.33,Food & Beverages,63,ABRH.SI
Tung Lok Rest,540,0.115,22.93,31.282,70.979,11.97,,Cyclical Consumer Services,62,TGLK.SI
Abundance Intl,541,0.028,1.17,33.324,917.007,64.04,1.92,Industrial & Commercial Services,63,ABUN.SI
Noel Gifts Intl,543,0.196,8.91,20.085,20.652,6.94,1.53,Retailers,72,NOEL.SI
CSE Global,544,0.335,4.94,207.214,496.392,18.4,8.15,Software & IT Services,98,CSES.SI
Medtecs Intl,546,0.14,-2.99,78.016,122.414,,5.87,Healthcare Services,66,MTCS.SI
King Wan,554,0.035,-7.29,24.442,82.73,,,Industrial & Commercial Services,62,KIWC.SI
UMS,558,1.25,20.98,838.17,326.168,13.8,4,Technology Equipment,76,UMSH.SI
Spindex Ind,564,0.98,11.18,113.058,206.009,6.59,3.57,Industrial Goods,68,SNEX.SI
SHS,566,0.148,-1.13,100.36,70.938,,,Industrial & Commercial Services,80,SEEH.SI
Colex,567,0.22,-7.05,29.155,42.049,,2.05,Industrial & Commercial Services,56,COLX.SI
Vicplas Intl,569,0.19,11.79,97.192,130.808,11.16,2.37,Healthcare Services,62,VICP.SI
Abundante,570,0.15,16.33,15.644,8.361,5.24,6.67,Mineral Resources,54,ABUD.SI
Challenger,573,0.535,9.6,214.942,278.439,15.23,5.23,Retailers,59,CHAL.SI
ASTI,575,0.014,-6.29,9.548,60.521,,,Technology Equipment,68,ATIH.SI
KS Energy,578,0.013,,17.077,39.982,,,Energy - Fossil Fuels,49,KSTL.SI
Oceanus,579,0.015,2.54,383.509,173.573,300,,Food & Beverages,46,OCGL.SI
Santak,580,0.055,-6.71,5.917,11.677,,,Industrial Goods,72,SATK.SI
Sunrise Shares,581,0.038,5.09,7.536,1.056,25.71,,Real Estate,58,SUNR.SI
Progen,583,0.051,-10.59,19.526,3.684,,,Industrial & Commercial Services,64,POGN.SI
OEL,584,0.008,-76.73,7.47,0.462,,,Healthcare Services,79,OELH.SI
Asian Micro,585,0.006,-7.72,9.639,4.773,,,Utilities,59,AMHL.SI
Global Dragon,586,0.08,10.01,54.558,105.882,6.42,12.5,Real Estate,50,GLOL.SI
CapAllianz,594,0.002,52.42,17.005,4.136,0.7,,Energy - Fossil Fuels,59,CAPL.SI
GKE,595,0.087,5.24,69.139,104.803,14.33,2.3,Transportation,66,GKEC.SI
Pavillon,596,0.044,-103.82,63.139,12.602,,,Cyclical Consumer Services,53,PAVI.SI
Hyflux,600,0.21,-247.15,178.858,150.18,,,Utilities,38,HYFL.SI
5E Resources,NLC,0.235,,34.79,15.899,18.28,,Industrial & Commercial Services,,ERES.SI
8Telecom,AZG,0.069,,8.09,0.802,,,Technology Equipment,57,ETEL.SI
9R,1Y1,0.053,-434.2,53.03,3.469,,,Industrial Goods,,RLIM.SI
A-Smart,BQC,0.091,-7.15,18.037,6.144,,,Industrial & Commercial Services,57,ASMA.SI
A-Sonic Aero,BTJ,0.625,16.85,55.57,622.042,5.1,1.28,Transportation,64,ASON.SI
Abterra,L5I,0.045,98.84,13.158,5.49,,,Energy - Fossil Fuels,-6,ABTR.SI
Accrelist Ltd,QZG,0.042,-58.02,13.668,241.239,,,Technology Equipment,,ACCR.SI
Ace Achieve Info,A75,0.008,0.99,5.757,35.514,,,Software & IT Services,42,ACEA.SI
Acesian Partners,5FW,0.044,48.21,21.435,26.311,5.33,,Industrial & Commercial Services,57,ACES.SI
Acma,AYV,0.035,-20.29,1.484,46.178,,,Industrial Goods,61,ACMA.SI
AcroMeta,43F,0.046,1.77,6.651,38.767,61.54,,Industrial & Commercial Services,64,ACRO.SI
Addvalue Tech,A31,0.012,-106.61,38.904,8.527,,,Technology Equipment,54,AVAU.SI
Advanced,BLZ,0.072,-3.65,7.454,41.852,,,Energy - Fossil Fuels,89,ADVA.SI
Advanced Systems,5TY,0.001,,22.324,27.971,25,,Technology Equipment,56,ADSA.SI
Advancer Global,43Q,0.082,-6.82,20.694,61.707,,16.83,Industrial & Commercial Services,80,ADVN.SI
Adventus,5EF,0.008,-0.88,17.161,0,,,Real Estate,48,ADVE.SI
